scenario,n_listeners,n_emits,operation,engine,mean_s,median_s,stdev_s,best_s,worst_s
small,100,1000,connect,rust,0.000096,0.000089,0.000016,0.000085,0.000123
small,100,1000,connect,blinker,0.000116,0.000119,0.000011,0.000104,0.000131
small,100,1000,emit,rust,0.021724,0.021550,0.000276,0.021507,0.022032
small,100,1000,emit,blinker,0.114989,0.114147,0.002042,0.113586,0.118581
small,100,1000,disconnect,rust,0.000075,0.000075,0.000001,0.000074,0.000077
small,100,1000,disconnect,blinker,0.000108,0.000105,0.000008,0.000103,0.000122
medium,1000,1000,connect,rust,0.000758,0.000741,0.000032,0.000735,0.000809
medium,1000,1000,connect,blinker,0.001012,0.001002,0.000077,0.000937,0.001098
medium,1000,1000,emit,rust,0.226944,0.201840,0.057484,0.200388,0.329767
medium,1000,1000,emit,blinker,1.153079,1.144391,0.019392,1.140172,1.187222
medium,1000,1000,disconnect,rust,0.000726,0.000721,0.000014,0.000717,0.000750
medium,1000,1000,disconnect,blinker,0.001013,0.000968,0.000117,0.000953,0.001221
large,10000,100,connect,rust,0.007482,0.007337,0.000362,0.007259,0.008123
large,10000,100,connect,blinker,0.011710,0.010893,0.001815,0.010802,0.014955
large,10000,100,emit,rust,0.218508,0.207050,0.025574,0.202430,0.262936
large,10000,100,emit,blinker,1.349835,1.339426,0.029146,1.321179,1.385800
large,10000,100,disconnect,rust,0.007354,0.007202,0.000305,0.007111,0.007868
large,10000,100,disconnect,blinker,0.010025,0.009902,0.000282,0.009856,0.010526
very_large,100000,10,connect,rust,0.075896,0.075924,0.001648,0.074229,0.078259
very_large,100000,10,connect,blinker,0.176511,0.177166,0.014059,0.156436,0.195944
very_large,100000,10,emit,rust,0.226850,0.227368,0.005626,0.220904,0.233579
very_large,100000,10,emit,blinker,1.941854,1.892296,0.087910,1.882382,2.090126
very_large,100000,10,disconnect,rust,0.075370,0.072806,0.003782,0.072530,0.080642
very_large,100000,10,disconnect,blinker,0.123109,0.124788,0.008558,0.113148,0.133024
